meal_name,calories,protein,carbs,fat,diet_type,meal_category
Oatmeal with Almond Milk and Banana,350,8,60,7,Vegetarian,Breakfast
Greek Yogurt with Honey,200,10,20,5,Vegetarian,Morning Snack
Whole Grain Toast with Avocado and Egg,380,15,40,18,Vegetarian,Breakfast
Cottage Cheese with Pineapple,250,20,30,5,Vegetarian,Morning Snack
Mushroom Risotto,480,12,60,15,Vegetarian,Dinner
Quinoa Salad with Veggies,400,12,50,10,Vegan,Lunch
Lentil Curry with Brown Rice,450,18,60,8,Vegan,Dinner
Chickpea Salad,350,14,45,9,Vegan,Lunch
Smoothie with Protein Powder,300,25,40,5,Vegan,Breakfast
Hummus with Carrot Sticks,220,7,25,10,Vegan,Afternoon Snack
Vegetable Stir-fry with Quinoa,400,12,55,9,Vegan,Dinner
Falafel Wrap,450,15,55,12,Vegan,Lunch
Stuffed Bell Peppers with Quinoa,400,14,50,9,Vegan,Dinner
Pancakes with Banana and Maple Syrup,350,8,60,7,Vegan,Breakfast
Grilled Chicken with Brown Rice,500,45,50,12,Non-Vegetarian,Lunch
Omelette with Whole Wheat Toast,400,22,35,15,Non-Vegetarian,Breakfast
Salmon with Quinoa and Veggies,550,40,50,18,Non-Vegetarian,Dinner
Scrambled Eggs with Avocado,380,18,25,22,Non-Vegetarian,Breakfast
Turkey Sandwich with Whole Grain Bread,450,30,55,10,Non-Vegetarian,Lunch
Beef Stir-Fry with Rice,600,50,60,20,Non-Vegetarian,Dinner
Grilled Dish 67,453,50,51,20,Non-Vegetarian,Breakfast
Nut Mix 78,575,43,37,14,Vegetarian,Lunch
Grilled Dish 46,317,30,48,19,Vegan,Dinner
Protein Bowl 29,316,43,62,9,Non-Vegetarian,Morning Snack
Nut Mix 83,580,28,47,12,Vegetarian,Breakfast
Green Delight 21,553,45,26,7,Vegan,Breakfast
Super Oats 61,550,23,48,15,Vegan,Morning Snack
Protein Bowl 36,474,17,69,10,Non-Vegetarian,Morning Snack
Green Delight 91,419,44,33,5,Vegetarian,Breakfast
Power Salad 37,297,6,23,20,Vegetarian,Breakfast
Quinoa Special 69,595,10,67,19,Vegetarian,Dinner
Green Delight 33,451,44,40,6,Vegan,Morning Snack
Power Salad 50,358,35,22,18,Non-Vegetarian,Afternoon Snack
Power Salad 19,401,19,46,12,Vegan,Breakfast
Power Salad 42,300,9,45,20,Vegetarian,Morning Snack
Green Delight 90,252,27,51,12,Non-Vegetarian,Morning Snack
Energy Smoothie 26,550,14,49,16,Vegan,Afternoon Snack
Protein Bowl 7,270,48,54,14,Vegan,Breakfast
Healthy Meal 82,215,34,30,6,Vegetarian,Breakfast
Stir-Fry Special 14,268,22,31,16,Non-Vegetarian,Lunch
Super Oats 55,476,38,61,8,Vegetarian,Breakfast
Power Salad 50,292,49,62,15,Vegetarian,Afternoon Snack
Power Salad 41,277,25,62,20,Vegetarian,Morning Snack
Green Delight 4,386,28,47,14,Vegetarian,Breakfast
Stir-Fry Special 1,366,49,40,11,Vegan,Morning Snack
Nut Mix 59,485,28,33,11,Vegetarian,Breakfast
Grilled Dish 18,386,13,52,6,Vegetarian,Lunch
Healthy Meal 77,445,25,25,13,Vegan,Lunch
Nut Mix 74,365,30,31,18,Vegan,Lunch
Protein Bowl 9,366,42,60,18,Vegan,Lunch
Nut Mix 50,316,39,69,16,Vegetarian,Afternoon Snack
Green Delight 93,339,44,38,10,Vegetarian,Breakfast
Quinoa Special 53,451,8,58,8,Vegetarian,Lunch
Stir-Fry Special 8,477,19,22,8,Vegetarian,Lunch
Power Salad 13,272,16,28,18,Vegetarian,Breakfast
Nut Mix 32,511,22,59,5,Vegetarian,Breakfast
Nut Mix 46,280,49,47,19,Non-Vegetarian,Afternoon Snack
Stir-Fry Special 32,331,12,70,6,Non-Vegetarian,Dinner
Nut Mix 1,471,16,52,15,Vegan,Afternoon Snack
Grilled Dish 100,545,41,46,16,Non-Vegetarian,Morning Snack
Quinoa Special 73,398,8,51,17,Non-Vegetarian,Dinner
Super Oats 27,433,12,29,17,Vegetarian,Afternoon Snack
Grilled Dish 79,358,22,42,16,Vegan,Morning Snack
Quinoa Special 74,528,39,69,6,Vegetarian,Afternoon Snack
Healthy Meal 35,377,16,65,17,Vegetarian,Lunch
Quinoa Special 97,406,20,59,16,Non-Vegetarian,Lunch
Energy Smoothie 90,353,9,48,12,Vegetarian,Morning Snack
Power Salad 57,580,23,54,14,Vegetarian,Morning Snack
Energy Smoothie 72,334,26,29,8,Vegan,Dinner
Energy Smoothie 44,411,34,58,9,Non-Vegetarian,Morning Snack
Super Oats 4,488,26,39,19,Vegetarian,Dinner
Quinoa Special 61,408,41,63,17,Vegan,Dinner
Green Delight 56,594,17,40,17,Vegan,Afternoon Snack
Quinoa Special 55,405,35,56,5,Vegetarian,Dinner
Green Delight 14,554,22,37,13,Non-Vegetarian,Morning Snack
Healthy Meal 6,243,32,27,17,Non-Vegetarian,Breakfast
Healthy Meal 47,599,32,54,18,Vegan,Lunch
Quinoa Special 8,477,10,40,13,Vegetarian,Breakfast
Protein Bowl 32,333,32,38,5,Vegan,Morning Snack
Stir-Fry Special 97,318,34,63,15,Vegan,Breakfast
Super Oats 25,328,42,67,7,Vegan,Breakfast
Healthy Meal 27,301,24,59,14,Vegetarian,Afternoon Snack
Nut Mix 10,470,38,66,20,Vegan,Dinner
Quinoa Special 42,418,44,56,17,Vegetarian,Morning Snack
Power Salad 54,218,5,62,16,Non-Vegetarian,Breakfast
Quinoa Special 96,208,45,39,13,Vegan,Afternoon Snack
Grilled Dish 67,481,15,32,9,Vegetarian,Breakfast
Grilled Dish 21,255,28,66,6,Non-Vegetarian,Afternoon Snack
Power Salad 57,478,13,24,19,Vegetarian,Dinner
Protein Bowl 73,206,8,37,16,Vegan,Morning Snack
Healthy Meal 54,200,41,41,13,Vegan,Morning Snack
Grilled Dish 53,217,37,33,6,Vegetarian,Breakfast
Grilled Dish 32,306,34,50,12,Non-Vegetarian,Breakfast
Protein Bowl 35,236,11,56,16,Non-Vegetarian,Dinner
Protein Bowl 13,444,15,60,10,Vegetarian,Afternoon Snack
Nut Mix 88,569,29,47,8,Vegan,Afternoon Snack
Super Oats 30,565,14,56,6,Non-Vegetarian,Afternoon Snack
Quinoa Special 79,493,22,61,7,Vegetarian,Afternoon Snack
Grilled Dish 7,504,47,20,12,Vegetarian,Afternoon Snack
Nut Mix 38,308,44,62,10,Vegetarian,Breakfast
Healthy Meal 9,475,46,38,12,Vegetarian,Afternoon Snack
Nut Mix 10,230,19,55,8,Vegetarian,Dinner
Protein Bowl 63,411,25,32,9,Vegan,Morning Snack
Healthy Meal 66,505,7,41,18,Vegetarian,Morning Snack
Power Salad 22,421,39,44,17,Non-Vegetarian,Lunch
Stir-Fry Special 100,467,15,26,17,Vegan,Breakfast
Healthy Meal 62,526,6,68,12,Non-Vegetarian,Breakfast
Energy Smoothie 5,499,19,64,19,Vegan,Lunch
Green Delight 3,229,23,70,7,Vegetarian,Afternoon Snack
Protein Bowl 95,374,47,24,6,Vegan,Breakfast
Power Salad 74,358,25,45,17,Non-Vegetarian,Dinner
Nut Mix 14,368,6,56,14,Non-Vegetarian,Morning Snack
Energy Smoothie 3,484,15,62,14,Non-Vegetarian,Breakfast
Grilled Dish 39,412,19,55,5,Vegetarian,Morning Snack
Stir-Fry Special 53,568,32,23,18,Non-Vegetarian,Afternoon Snack
Nut Mix 89,500,37,56,5,Non-Vegetarian,Breakfast
Energy Smoothie 22,288,14,51,14,Non-Vegetarian,Afternoon Snack
Super Oats 41,392,34,57,14,Vegetarian,Afternoon Snack
Quinoa Special 40,349,12,40,10,Vegetarian,Breakfast
Power Salad 87,568,11,48,9,Vegan,Afternoon Snack
Green Delight 60,229,41,26,7,Non-Vegetarian,Afternoon Snack
Healthy Meal 32,460,45,24,15,Vegan,Morning Snack
Healthy Meal 48,213,28,37,6,Vegan,Dinner
Healthy Meal 50,472,33,52,17,Vegetarian,Breakfast
Energy Smoothie 7,339,49,28,15,Vegetarian,Lunch
Healthy Meal 77,326,16,52,12,Vegan,Dinner
Stir-Fry Special 9,402,47,31,19,Vegetarian,Dinner
Stir-Fry Special 2,477,22,68,8,Non-Vegetarian,Breakfast
Power Salad 31,537,40,50,17,Vegan,Breakfast
Stir-Fry Special 19,410,36,60,19,Vegan,Morning Snack
Super Oats 95,527,11,62,12,Vegetarian,Dinner
Grilled Dish 96,230,28,60,6,Vegetarian,Lunch
Energy Smoothie 90,351,33,50,10,Vegetarian,Afternoon Snack
Super Oats 68,354,50,28,20,Vegan,Breakfast
